

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
371.415  000.110  000.110: require('barbar.fs')
371.571  000.459  000.348: require('barbar.buffer')
371.604  000.896  000.438: require('barbar.state')
371.611  001.847  000.341: require('barbar.bbye')
371.763  000.148  000.148: require('barbar.jump_mode')
372.332  000.160  000.160: require('barbar.utils.highlight')
373.786  001.449  001.449: require('nvim-web-devicons')
373.795  001.769  000.160: require('barbar.icons')
373.801  002.034  000.266: require('barbar.ui.layout')
374.626  000.178  000.178: require('barbar.ui.nodes')
374.642  000.837  000.659: require('barbar.ui.render')
374.662  005.778  000.715: require('barbar.api')
378.030  003.027  003.027: require('barbar.highlight')
378.051  003.385  000.358: require('barbar.events')
378.057  009.443  000.280: require('barbar')
384.191  015.637  006.194: sourcing /home/rahim/.local/share/nvim/site/pack/packer/start/barbar.nvim/plugin/barbar.lua
384.937  000.052  000.052: sourcing /home/rahim/.local/share/nvim/site/pack/packer/start/copilot.vim/plugin/copilot.vim
386.096  000.317  000.317: require('dressing.patch')
386.132  000.632  000.315: require('dressing')
386.245  000.813  000.181: sourcing /home/rahim/.local/share/nvim/site/pack/packer/start/dressing.nvim/plugin/dressing.lua
389.881  003.136  003.136: sourcing /home/rahim/.local/share/nvim/site/pack/packer/start/emmet-vim/plugin/emmet.vim
391.272  000.365  000.365: require('indent_blankline.commands')
391.474  000.982  000.616: sourcing /home/rahim/.local/share/nvim/site/pack/packer/start/indent-blankline.nvim/plugin/indent_blankline.vim
391.832  000.066  000.066: sourcing /home/rahim/.local/share/nvim/site/pack/packer/start/live-server/plugin/live-server.vim
392.139  000.038  000.038: sourcing /home/rahim/.local/share/nvim/site/pack/packer/start/lldb.nvim/plugin/lldb.vim
393.030  000.197  000.197: sourcing /home/rahim/.local/share/nvim/site/pack/packer/start/nvim-cmp/plugin/cmp.lua
393.419  000.106  000.106: sourcing /home/rahim/.local/share/nvim/site/pack/packer/start/nvim-colorizer.lua/plugin/colorizer.lua
393.980  000.266  000.266: sourcing /home/rahim/.local/share/nvim/site/pack/packer/start/nvim-dap/plugin/dap.lua
397.654  002.449  002.449: sourcing /home/rahim/.local/share/nvim/site/pack/packer/start/nvim-lspconfig/plugin/lspconfig.lua
398.451  000.135  000.135: sourcing /home/rahim/.local/share/nvim/site/pack/packer/start/nvim-treesitter/plugin/nvim-treesitter.lua
400.638  000.510  000.510: require('treesitter-context.config')
400.710  001.756  001.246: require('treesitter-context')
400.883  001.984  000.228: sourcing /home/rahim/.local/share/nvim/site/pack/packer/start/nvim-treesitter-context/plugin/treesitter-context.lua
401.799  000.043  000.043: sourcing /home/rahim/.local/share/nvim/site/pack/packer/start/nvim-ts-rainbow2/autoload/ts_rainbow.vim
402.562  000.616  000.616: require('ts-rainbow.module')
402.746  001.502  000.842: sourcing /home/rahim/.local/share/nvim/site/pack/packer/start/nvim-ts-rainbow2/plugin/rainbow.vim
403.234  000.198  000.198: sourcing /home/rahim/.local/share/nvim/site/pack/packer/start/nvim-web-devicons/plugin/nvim-web-devicons.vim
403.690  000.088  000.088: sourcing /home/rahim/.local/share/nvim/site/pack/packer/start/plenary.nvim/plugin/plenary.vim
404.157  000.169  000.169: sourcing /home/rahim/.local/share/nvim/site/pack/packer/start/prettier.nvim/plugin/prettier.vim
405.470  000.830  000.830: sourcing /home/rahim/.local/share/nvim/site/pack/packer/start/telescope.nvim/plugin/telescope.lua
405.734  000.063  000.063: sourcing /home/rahim/.local/share/nvim/site/pack/packer/start/todo-comments.nvim/plugin/todo.vim
406.335  000.162  000.162: sourcing /home/rahim/.local/share/nvim/site/pack/packer/start/transparent.nvim/plugin/transparent.vim
407.004  000.366  000.366: sourcing /home/rahim/.local/share/nvim/site/pack/packer/start/undotree/plugin/undotree.vim
